period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,roseires,0.9499999999999995,420,5160,0,0,0,0,0,0,0,4266,711.1978713000002,0.7111978713000002,0.064601306875,734,5000,5000,0,275.58917512875
1,30,60,30,roseires,0.9499999999999995,420,5340,0,0,0,0,0,0,0,4275,712.6982887500002,0.7126982887500002,0.064601306875,1065,5340,5340,0,276.170586890625
2,60,90,30,roseires,0.9499999999999995,420,5340,0,0,0,0,0,0,0,4275,712.6982887500002,0.7126982887500002,0.064601306875,1065,5340,5340,0,276.170586890625
3,90,120,30,roseires,0.9499999999999995,420,5340,0,0,0,0,0,0,0,4275,712.6982887500002,0.7126982887500002,0.064601306875,1065,5340,5340,0,276.170586890625
4,120,150,30,roseires,0.9499999999999995,420,5340,0,0,0,0,0,0,0,4275,712.6982887500002,0.7126982887500002,0.064601306875,1065,5340,5340,0,276.170586890625
5,150,180,30,roseires,0.9499999999999995,420,5340,0,0,0,0,0,0,0,4275,712.6982887500002,0.7126982887500002,0.064601306875,1065,5340,5340,0,276.170586890625
6,180,210,30,roseires,0.9499999999999995,420,5340,0,0,0,0,0,0,0,4275,712.6982887500002,0.7126982887500002,0.064601306875,1065,5340,5340,0,276.170586890625
7,210,240,30,roseires,0.9499999999999995,420,5340,0,0,0,0,0,0,0,4275,712.6982887500002,0.7126982887500002,0.064601306875,1065,5340,5340,0,276.170586890625
8,240,270,30,roseires,0.9499999999999995,420,5340,0,0,0,0,0,0,0,4275,712.6982887500002,0.7126982887500002,0.064601306875,1065,5340,5340,0,276.170586890625
9,270,300,30,roseires,0.9499999999999995,420,5340,0,0,0,0,0,0,0,4275,712.6982887500002,0.7126982887500002,0.064601306875,1065,5340,5340,0,276.170586890625
10,300,330,30,roseires,0.9499999999999995,420,5340,0,0,0,0,0,0,0,4275,712.6982887500002,0.7126982887500002,0.064601306875,1065,5340,5340,0,276.170586890625
11,330,360,30,roseires,0.9499999999999995,420,5340,0,0,0,0,0,0,0,4275,712.6982887500002,0.7126982887500002,0.064601306875,1065,5340,5340,0,276.170586890625
12,360,365,5,roseires,0.95,420,890,0,0,0,0,0,0,0,712.5,118.783048125,0.118783048125,0.064601306875,177.5,890,890,0,46.0284311484375
