period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,gerd,0.9499999999999995,0,4760,0,0,0,0,0,0,0,5260,1869.8829887499987,1.8698829887499988,0.27799401087500003,0,5260,5260,0,1462.2484972024993
1,30,60,30,gerd,0.9499999999999995,0,5100,0,0,0,0,0,0,0,5100,1813.0044187499989,1.813004418749999,0.27799401087500003,0,5100,5100,0,1417.7694554624993
2,60,90,30,gerd,0.9499999999999995,0,5100,0,0,0,0,0,0,0,5100,1813.0044187499989,1.813004418749999,0.27799401087500003,0,5100,5100,0,1417.7694554624993
3,90,120,30,gerd,0.9499999999999995,0,5100,0,0,0,0,0,0,0,5100,1813.0044187499989,1.813004418749999,0.27799401087500003,0,5100,5100,0,1417.7694554624993
4,120,150,30,gerd,0.9499999999999995,0,5100,0,0,0,0,0,0,0,5100,1813.0044187499989,1.813004418749999,0.27799401087500003,0,5100,5100,0,1417.7694554624993
5,150,180,30,gerd,0.9499999999999995,0,5100,0,0,0,0,0,0,0,5100,1813.0044187499989,1.813004418749999,0.27799401087500003,0,5100,5100,0,1417.7694554624993
6,180,210,30,gerd,0.9499999999999995,0,5100,0,0,0,0,0,0,0,5100,1813.0044187499989,1.813004418749999,0.27799401087500003,0,5100,5100,0,1417.7694554624993
7,210,240,30,gerd,0.9499999999999995,0,5100,0,0,0,0,0,0,0,5100,1813.0044187499989,1.813004418749999,0.27799401087500003,0,5100,5100,0,1417.7694554624993
8,240,270,30,gerd,0.9499999999999995,0,5100,0,0,0,0,0,0,0,5100,1813.0044187499989,1.813004418749999,0.27799401087500003,0,5100,5100,0,1417.7694554624993
9,270,300,30,gerd,0.9499999999999995,0,5100,0,0,0,0,0,0,0,5100,1813.0044187499989,1.813004418749999,0.27799401087500003,0,5100,5100,0,1417.7694554624993
10,300,330,30,gerd,0.9499999999999995,0,5100,0,0,0,0,0,0,0,5100,1813.0044187499989,1.813004418749999,0.27799401087500003,0,5100,5100,0,1417.7694554624993
11,330,360,30,gerd,0.9499999999999995,0,5100,0,0,0,0,0,0,0,5100,1813.0044187499989,1.813004418749999,0.27799401087500003,0,5100,5100,0,1417.7694554624993
12,360,365,5,gerd,0.95,0,850,0,0,0,0,0,0,0,850,302.167403125,0.302167403125,0.27799401087500003,0,850,850,0,236.29490924375003
